City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Ostrovnoy,RU,68.0531,39.5131,25.0,95,99,10.07,light snow
334,Baykit,RU,61.67,96.37,-7.31,99,100,2.15,overcast clouds
335,Wenling,CN,28.3669,121.36,51.13,77,100,10.27,overcast clouds
336,Villa Carlos Paz,AR,-31.4241,-64.4978,78.39,28,38,15.01,scattered clouds
337,Kargil,IN,34.5667,76.1,-9.36,79,9,3.58,clear sky
338,Aksarka,RU,66.5606,67.7975,-33.23,100,97,2.62,overcast clouds
339,Ust-Tarka,RU,55.5672,75.705,-14.53,100,86,2.39,overcast clouds
340,Pringsewu,ID,-5.3582,104.9744,71.98,95,100,1.05,overcast clouds
341,Panzhihua,CN,26.5851,101.7128,44.44,84,0,1.34,clear sky
342,Udachnyy,RU,66.4167,112.4,0.45,84,99,17.65,overcast clouds
343,Takoradi,GH,4.8845,-1.7554,79.32,67,6,5.1,clear sky
344,Saldanha,ZA,-33.0117,17.9442,71.65,87,0,11.03,clear sky
345,Texarkana,US,33.4251,-94.0477,75.24,69,87,11.99,overcast clouds
346,Lesosibirsk,RU,58.2358,92.4828,4.37,96,100,7.45,light snow
347,Qingyuan,CN,23.7,113.0333,55.38,63,90,6.26,overcast clouds
348,Guanica,PR,17.9716,-66.908,82.06,81,26,4.92,scattered clouds
