City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Wuwei,CN,2022-12-15 22:39:46,37.9281,102.6414,12.83,72,100,3.44
130,Erzin,TR,2022-12-15 22:39:46,36.9559,36.2,57.25,76,84,4.45
131,Mackenzie,CA,2022-12-15 22:39:47,55.2999,-123.1698,19.62,86,100,6.91
132,Vila Franca Do Campo,PT,2022-12-15 22:36:51,37.7167,-25.4333,57.61,76,100,4.18
133,Aswan,EG,2022-12-15 22:39:47,24.0934,32.907,63.7,51,0,5.75
134,Tiksi,RU,2022-12-15 22:39:47,71.6872,128.8694,-28.44,100,98,2.13
135,Sayyan,YE,2022-12-15 22:39:48,15.1718,44.3244,46.9,52,95,3.53
136,Goya,AR,2022-12-15 22:39:48,-29.14,-59.2626,80.76,31,15,4.59
137,Itaituba,BR,2022-12-15 22:40:48,-4.2761,-55.9836,81.0,63,98,0.87
138,Torbay,CA,2022-12-15 22:40:49,47.6666,-52.7314,38.88,97,100,28.99
139,Gold Coast,AU,2022-12-15 22:40:49,-28.0,153.4333,75.24,81,97,12.41
140,Port Keats,AU,2022-12-15 22:40:49,-14.25,129.55,85.98,67,85,2.77
141,San Martino Di Lupari,IT,2022-12-15 22:40:50,45.6548,11.8584,46.6,87,75,2.26
142,Hambantota,LK,2022-12-15 22:40:50,6.1241,81.1185,74.1,82,99,6.33
143,Diffa,NE,2022-12-15 22:40:50,13.3154,12.6113,71.87,20,68,9.26
144,Gizo,SB,2022-12-15 22:40:51,-8.103,156.8419,83.77,71,43,3.8
145,Semey,KZ,2022-12-15 22:40:51,50.4111,80.2275,-9.71,89,5,9.48
146,Abu Samrah,SY,2022-12-15 22:40:51,35.3029,37.1841,53.08,82,11,4.56
147,Beringovskiy,RU,2022-12-15 22:40:51,63.05,179.3167,24.91,79,100,15.82
148,Grand Gaube,MU,2022-12-15 22:38:27,-20.0064,57.6608,75.6,73,85,5.01
149,Saint-Joseph,RE,2022-12-15 22:40:52,-21.3667,55.6167,75.58,84,54,8.34
150,Praia Da Vitoria,PT,2022-12-15 22:40:52,38.7333,-27.0667,57.76,82,20,9.75
151,Cherskiy,RU,2022-12-15 22:40:53,68.75,161.3,-34.35,95,75,2.24
152,Lodja,CD,2022-12-15 22:40:53,-3.4833,23.4333,70.9,85,95,1.16
153,Luderitz,NA,2022-12-15 22:40:53,-26.6481,15.1594,66.24,92,9,3.24
154,Boueni,YT,2022-12-15 22:40:53,-12.9025,45.0761,78.78,75,81,8.5
155,Kodiak,US,2022-12-15 22:40:54,57.79,-152.4072,36.91,100,100,0.0
156,Katubao,PH,2022-12-15 22:40:54,5.8892,124.8294,79.18,76,100,5.59
157,Hasaki,JP,2022-12-15 22:40:54,35.7333,140.8333,28.8,43,4,4.65
158,Barra,BR,2022-12-15 22:40:55,-11.0894,-43.1417,74.5,80,100,6.26
159,Sitka,US,2022-12-15 22:40:55,57.0531,-135.33,42.69,93,100,8.05
160,Vagur,FO,2022-12-15 22:40:55,61.4732,-6.8119,34.34,52,100,9.28
161,Slave Lake,CA,2022-12-15 22:40:56,55.2834,-114.769,17.58,93,0,4.61
162,Lompoc,US,2022-12-15 22:40:56,34.6391,-120.4579,61.02,75,0,6.91
163,Lata,PT,2022-12-15 22:40:56,40.1629,-8.3327,53.92,91,55,7.81
164,Oksovskiy,RU,2022-12-15 22:40:57,62.6062,39.8984,16.9,89,65,8.72
165,Vagay,RU,2022-12-15 22:40:57,57.9375,69.0217,-1.98,89,31,7.96
166,Derventa,BA,2022-12-15 22:40:57,44.9772,17.9103,37.15,95,100,3.91
167,Saskylakh,RU,2022-12-15 22:40:57,71.9167,114.0833,-32.82,100,99,1.03
168,Waipawa,NZ,2022-12-15 22:40:58,-41.4122,175.5153,70.56,70,100,7.81
